Timestamp,Watts_Realtime,Daily_Total_kWh,Monthly_Total_kWh
2026-04-21 23:32:35 CDT,650.009883,11.02,149.141
2026-04-22 15:57:34 CDT,617.431758,9.328,158.765
2026-04-22 20:53:26 CDT,522.806311,12.05,161.487
2026-04-23 20:53:45 CDT,251.057385,5.428,168.578
2026-04-24 20:44:46 CDT,321.159932,6.481,175.924
2026-04-25 20:56:54 CDT,326.188199,4.829,181.08
2026-04-26 22:03:26 CDT,279.247506,5.734,187.767
2026-04-27 23:35:05 CDT,51.304561,2.297,190.598
2026-04-28 21:07:50 CDT,52.426423,0.879,191.495
2026-04-29 21:08:00 CDT,51.343864,0.875,192.488
2026-04-30 21:11:44 CDT,50.505237,0.875,193.485
2026-05-01 20:58:59 CDT,139.481212,0.0,1.399
2026-05-02 21:02:57 CDT,143.547666,0.0,4.745
2026-05-03 21:03:44 CDT,100.775709,2.179,7.202
2026-05-04 21:03:16 CDT,139.64291,0.0,9.644
2026-05-05 21:02:27 CDT,139.319118,0.0,12.065
2026-05-06 21:05:09 CDT,105.074423,2.158,14.499
2026-05-07 21:12:11 CDT,49.48104,1.574,16.346
2026-05-08 21:05:47 CDT,53.111661,0.873,17.335
2026-05-09 21:06:34 CDT,50.259591,0.881,18.338
2026-05-10 21:15:26 CDT,51.638706,0.89,19.348
2026-05-11 21:10:43 CDT,53.206623,0.884,20.345
2026-05-13 06:27:44 CDT,109.023626,0.065,21.786
